pert,name,cluster,split,fp_data,label
ENSG00000010244,ZNF207,18,train,data/single_cell/k562_gw/data_interv-ENSG00000010244.npy,22
ENSG00000010256,UQCRC1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000010256.npy,40
ENSG00000010810,FYN,18,train,data/single_cell/k562_gw/data_interv-ENSG00000010810.npy,23
ENSG00000011007,ELOA,18,train,data/single_cell/k562_gw/data_interv-ENSG00000011007.npy,12
ENSG00000011260,UTP18,272,train,data/single_cell/k562_gw/data_interv-ENSG00000011260.npy,145
ENSG00000011304,PTBP1,50,train,data/single_cell/k562_gw/data_interv-ENSG00000011304.npy,11
ENSG00000011376,LARS2,189,train,data/single_cell/k562_gw/data_interv-ENSG00000011376.npy,27
ENSG00000012174,MBTPS2,294,train,data/single_cell/k562_gw/data_interv-ENSG00000012174.npy,400
ENSG00000013275,PSMC4,294,train,data/single_cell/k562_gw/data_interv-ENSG00000013275.npy,27
ENSG00000013374,NUB1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000013374.npy,158
ENSG00000013503,POLR3B,169,train,data/single_cell/k562_gw/data_interv-ENSG00000013503.npy,51
ENSG00000014123,UFL1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000014123.npy,366
ENSG00000014138,POLA2,95,train,data/single_cell/k562_gw/data_interv-ENSG00000014138.npy,34
ENSG00000014824,SLC30A9,18,train,data/single_cell/k562_gw/data_interv-ENSG00000014824.npy,47
ENSG00000014919,COX15,388,train,data/single_cell/k562_gw/data_interv-ENSG00000014919.npy,387
ENSG00000015676,NUDCD3,255,train,data/single_cell/k562_gw/data_interv-ENSG00000015676.npy,422
ENSG00000018699,TTC27,263,train,data/single_cell/k562_gw/data_interv-ENSG00000018699.npy,314
ENSG00000020426,MNAT1,195,train,data/single_cell/k562_gw/data_interv-ENSG00000020426.npy,284
ENSG00000021355,SERPINB1,377,train,data/single_cell/k562_gw/data_interv-ENSG00000021355.npy,86
ENSG00000023228,NDUFS1,189,train,data/single_cell/k562_gw/data_interv-ENSG00000023228.npy,18
ENSG00000023330,ALAS1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000023330.npy,30
ENSG00000023734,STRAP,18,train,data/single_cell/k562_gw/data_interv-ENSG00000023734.npy,444
ENSG00000025796,SEC63,18,train,data/single_cell/k562_gw/data_interv-ENSG00000025796.npy,32
ENSG00000025800,KPNA6,185,train,data/single_cell/k562_gw/data_interv-ENSG00000025800.npy,24
ENSG00000026652,AGPAT4,18,train,data/single_cell/k562_gw/data_interv-ENSG00000026652.npy,23
ENSG00000028839,TBPL1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000028839.npy,108
ENSG00000029364,SLC39A9,224,train,data/single_cell/k562_gw/data_interv-ENSG00000029364.npy,575
ENSG00000029639,TFB1M,189,train,data/single_cell/k562_gw/data_interv-ENSG00000029639.npy,144
ENSG00000029993,HMGB3,189,train,data/single_cell/k562_gw/data_interv-ENSG00000029993.npy,663
ENSG00000031823,RANBP3,224,train,data/single_cell/k562_gw/data_interv-ENSG00000031823.npy,80
ENSG00000033030,ZCCHC8,18,train,data/single_cell/k562_gw/data_interv-ENSG00000033030.npy,31
ENSG00000033178,UBA6,189,train,data/single_cell/k562_gw/data_interv-ENSG00000033178.npy,38
ENSG00000033327,GAB2,334,train,data/single_cell/k562_gw/data_interv-ENSG00000033327.npy,98
ENSG00000033800,PIAS1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000033800.npy,123
ENSG00000034510,TMSB10,18,train,data/single_cell/k562_gw/data_interv-ENSG00000034510.npy,121
ENSG00000035141,FAM136A,204,train,data/single_cell/k562_gw/data_interv-ENSG00000035141.npy,329
ENSG00000035687,ADSS,95,train,data/single_cell/k562_gw/data_interv-ENSG00000035687.npy,55
ENSG00000035928,RFC1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000035928.npy,14
ENSG00000036257,CUL3,18,train,data/single_cell/k562_gw/data_interv-ENSG00000036257.npy,67
ENSG00000036549,AC118549.1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000036549.npy,61
ENSG00000037637,FBXO42,18,train,data/single_cell/k562_gw/data_interv-ENSG00000037637.npy,93
ENSG00000037897,METTL1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000037897.npy,39
ENSG00000038219,BOD1L1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000038219.npy,193
ENSG00000038358,EDC4,18,train,data/single_cell/k562_gw/data_interv-ENSG00000038358.npy,12
ENSG00000039123,MTREX,95,train,data/single_cell/k562_gw/data_interv-ENSG00000039123.npy,130
ENSG00000039560,RAI14,18,train,data/single_cell/k562_gw/data_interv-ENSG00000039560.npy,16
ENSG00000039650,PNKP,95,train,data/single_cell/k562_gw/data_interv-ENSG00000039650.npy,13
ENSG00000040633,PHF23,224,train,data/single_cell/k562_gw/data_interv-ENSG00000040633.npy,47
ENSG00000041357,PSMA4,294,train,data/single_cell/k562_gw/data_interv-ENSG00000041357.npy,96
ENSG00000041802,LSG1,155,train,data/single_cell/k562_gw/data_interv-ENSG00000041802.npy,404
ENSG00000042753,AP2S1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000042753.npy,196
ENSG00000044574,HSPA5,189,train,data/single_cell/k562_gw/data_interv-ENSG00000044574.npy,306
ENSG00000047249,ATP6V1H,294,train,data/single_cell/k562_gw/data_interv-ENSG00000047249.npy,10
ENSG00000047315,POLR2B,195,train,data/single_cell/k562_gw/data_interv-ENSG00000047315.npy,445
ENSG00000047410,TPR,90,train,data/single_cell/k562_gw/data_interv-ENSG00000047410.npy,412
ENSG00000048162,NOP16,279,train,data/single_cell/k562_gw/data_interv-ENSG00000048162.npy,324
ENSG00000048544,MRPS10,189,train,data/single_cell/k562_gw/data_interv-ENSG00000048544.npy,70
ENSG00000048707,VPS13D,6,train,data/single_cell/k562_gw/data_interv-ENSG00000048707.npy,130
ENSG00000048828,FAM120A,18,train,data/single_cell/k562_gw/data_interv-ENSG00000048828.npy,17
ENSG00000049449,RCN1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000049449.npy,12
ENSG00000049541,RFC2,120,train,data/single_cell/k562_gw/data_interv-ENSG00000049541.npy,386
ENSG00000050393,MCUR1,328,train,data/single_cell/k562_gw/data_interv-ENSG00000050393.npy,15
ENSG00000051180,RAD51,95,train,data/single_cell/k562_gw/data_interv-ENSG00000051180.npy,152
ENSG00000051596,THOC3,90,train,data/single_cell/k562_gw/data_interv-ENSG00000051596.npy,23
ENSG00000052126,PLEKHA5,18,train,data/single_cell/k562_gw/data_interv-ENSG00000052126.npy,30
ENSG00000052749,RRP12,226,train,data/single_cell/k562_gw/data_interv-ENSG00000052749.npy,570
ENSG00000053372,MRTO4,272,train,data/single_cell/k562_gw/data_interv-ENSG00000053372.npy,26
ENSG00000053501,USE1,294,train,data/single_cell/k562_gw/data_interv-ENSG00000053501.npy,106
ENSG00000054118,THRAP3,224,train,data/single_cell/k562_gw/data_interv-ENSG00000054118.npy,74
ENSG00000055044,NOP58,332,train,data/single_cell/k562_gw/data_interv-ENSG00000055044.npy,147
ENSG00000055130,CUL1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000055130.npy,345
ENSG00000055483,USP36,69,train,data/single_cell/k562_gw/data_interv-ENSG00000055483.npy,78
ENSG00000055950,MRPL43,189,train,data/single_cell/k562_gw/data_interv-ENSG00000055950.npy,315
ENSG00000056097,ZFR,18,train,data/single_cell/k562_gw/data_interv-ENSG00000056097.npy,126
ENSG00000057663,ATG5,18,train,data/single_cell/k562_gw/data_interv-ENSG00000057663.npy,24
ENSG00000058063,ATP11B,189,train,data/single_cell/k562_gw/data_interv-ENSG00000058063.npy,219
ENSG00000058262,SEC61A1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000058262.npy,13
ENSG00000058600,POLR3E,224,train,data/single_cell/k562_gw/data_interv-ENSG00000058600.npy,163
ENSG00000058729,RIOK2,243,train,data/single_cell/k562_gw/data_interv-ENSG00000058729.npy,649
ENSG00000060138,YBX3,18,train,data/single_cell/k562_gw/data_interv-ENSG00000060138.npy,142
ENSG00000060237,WNK1,2,train,data/single_cell/k562_gw/data_interv-ENSG00000060237.npy,112
ENSG00000060339,CCAR1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000060339.npy,71
ENSG00000060688,SNRNP40,224,train,data/single_cell/k562_gw/data_interv-ENSG00000060688.npy,120
ENSG00000061676,NCKAP1,294,train,data/single_cell/k562_gw/data_interv-ENSG00000061676.npy,86
ENSG00000061794,MRPS35,189,train,data/single_cell/k562_gw/data_interv-ENSG00000061794.npy,567
ENSG00000061936,SFSWAP,224,train,data/single_cell/k562_gw/data_interv-ENSG00000061936.npy,598
ENSG00000062194,GPBP1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000062194.npy,19
ENSG00000062485,CS,18,train,data/single_cell/k562_gw/data_interv-ENSG00000062485.npy,42
ENSG00000062582,MRPS24,189,train,data/single_cell/k562_gw/data_interv-ENSG00000062582.npy,219
ENSG00000062716,VMP1,294,train,data/single_cell/k562_gw/data_interv-ENSG00000062716.npy,92
ENSG00000062822,POLD1,120,train,data/single_cell/k562_gw/data_interv-ENSG00000062822.npy,380
ENSG00000063177,RPL18,283,train,data/single_cell/k562_gw/data_interv-ENSG00000063177.npy,35
ENSG00000063244,U2AF2,294,train,data/single_cell/k562_gw/data_interv-ENSG00000063244.npy,147
ENSG00000064102,INTS13,214,train,data/single_cell/k562_gw/data_interv-ENSG00000064102.npy,101
ENSG00000064313,TAF2,310,train,data/single_cell/k562_gw/data_interv-ENSG00000064313.npy,104
ENSG00000064419,TNPO3,294,train,data/single_cell/k562_gw/data_interv-ENSG00000064419.npy,620
ENSG00000064703,DDX20,123,train,data/single_cell/k562_gw/data_interv-ENSG00000064703.npy,498
ENSG00000064995,TAF11,18,train,data/single_cell/k562_gw/data_interv-ENSG00000064995.npy,141
ENSG00000065060,UHRF1BP1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000065060.npy,8
ENSG00000065183,WDR3,243,train,data/single_cell/k562_gw/data_interv-ENSG00000065183.npy,15
ENSG00000065268,WDR18,18,train,data/single_cell/k562_gw/data_interv-ENSG00000065268.npy,18
ENSG00000065328,MCM10,120,train,data/single_cell/k562_gw/data_interv-ENSG00000065328.npy,287
ENSG00000065427,KARS,189,train,data/single_cell/k562_gw/data_interv-ENSG00000065427.npy,95
ENSG00000065518,NDUFB4,189,train,data/single_cell/k562_gw/data_interv-ENSG00000065518.npy,297
ENSG00000065526,SPEN,18,train,data/single_cell/k562_gw/data_interv-ENSG00000065526.npy,70
ENSG00000065978,YBX1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000065978.npy,15
ENSG00000066044,ELAVL1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000066044.npy,82
ENSG00000066117,SMARCD1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000066117.npy,24
ENSG00000066379,ZNRD1,186,train,data/single_cell/k562_gw/data_interv-ENSG00000066379.npy,290
ENSG00000066422,ZBTB11,18,train,data/single_cell/k562_gw/data_interv-ENSG00000066422.npy,12
ENSG00000066654,THUMPD1,87,train,data/single_cell/k562_gw/data_interv-ENSG00000066654.npy,127
ENSG00000066777,ARFGEF1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000066777.npy,73
ENSG00000067064,IDI1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000067064.npy,29
ENSG00000067334,DNTTIP2,243,train,data/single_cell/k562_gw/data_interv-ENSG00000067334.npy,965
ENSG00000067704,IARS2,346,train,data/single_cell/k562_gw/data_interv-ENSG00000067704.npy,716
ENSG00000068654,POLR1A,87,train,data/single_cell/k562_gw/data_interv-ENSG00000068654.npy,193
ENSG00000068912,ERLEC1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000068912.npy,15
ENSG00000069248,NUP133,90,train,data/single_cell/k562_gw/data_interv-ENSG00000069248.npy,122
ENSG00000069329,VPS35,28,train,data/single_cell/k562_gw/data_interv-ENSG00000069329.npy,82
ENSG00000069509,FUNDC1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000069509.npy,13
ENSG00000069849,ATP1B3,224,train,data/single_cell/k562_gw/data_interv-ENSG00000069849.npy,25
ENSG00000070367,EXOC5,18,train,data/single_cell/k562_gw/data_interv-ENSG00000070367.npy,74
ENSG00000070423,RNF126,18,train,data/single_cell/k562_gw/data_interv-ENSG00000070423.npy,19
ENSG00000070495,JMJD6,18,train,data/single_cell/k562_gw/data_interv-ENSG00000070495.npy,19
ENSG00000070718,AP3M2,294,train,data/single_cell/k562_gw/data_interv-ENSG00000070718.npy,35
ENSG00000070770,CSNK2A2,18,train,data/single_cell/k562_gw/data_interv-ENSG00000070770.npy,49
ENSG00000070785,EIF2B3,33,train,data/single_cell/k562_gw/data_interv-ENSG00000070785.npy,13
ENSG00000070814,TCOF1,272,train,data/single_cell/k562_gw/data_interv-ENSG00000070814.npy,245
ENSG00000070831,CDC42,224,train,data/single_cell/k562_gw/data_interv-ENSG00000070831.npy,17
ENSG00000071082,RPL31,279,train,data/single_cell/k562_gw/data_interv-ENSG00000071082.npy,723
ENSG00000071243,ING3,18,train,data/single_cell/k562_gw/data_interv-ENSG00000071243.npy,81
ENSG00000071462,BUD23,69,train,data/single_cell/k562_gw/data_interv-ENSG00000071462.npy,138
ENSG00000071537,SEL1L,18,train,data/single_cell/k562_gw/data_interv-ENSG00000071537.npy,35
ENSG00000071553,ATP6AP1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000071553.npy,189
ENSG00000071564,TCF3,224,train,data/single_cell/k562_gw/data_interv-ENSG00000071564.npy,21
ENSG00000071626,DAZAP1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000071626.npy,21
ENSG00000071655,MBD3,224,train,data/single_cell/k562_gw/data_interv-ENSG00000071655.npy,236
ENSG00000071994,PDCD2,18,train,data/single_cell/k562_gw/data_interv-ENSG00000071994.npy,104
ENSG00000072110,ACTN1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000072110.npy,8
ENSG00000072274,TFRC,18,train,data/single_cell/k562_gw/data_interv-ENSG00000072274.npy,16
ENSG00000072501,SMC1A,62,train,data/single_cell/k562_gw/data_interv-ENSG00000072501.npy,2
ENSG00000072506,HSD17B10,88,train,data/single_cell/k562_gw/data_interv-ENSG00000072506.npy,100
ENSG00000072756,TRNT1,189,train,data/single_cell/k562_gw/data_interv-ENSG00000072756.npy,748
ENSG00000072803,FBXW11,18,train,data/single_cell/k562_gw/data_interv-ENSG00000072803.npy,12
ENSG00000073111,MCM2,120,train,data/single_cell/k562_gw/data_interv-ENSG00000073111.npy,693
ENSG00000073536,NLE1,279,train,data/single_cell/k562_gw/data_interv-ENSG00000073536.npy,18
ENSG00000073578,SDHA,18,train,data/single_cell/k562_gw/data_interv-ENSG00000073578.npy,57
ENSG00000073712,FERMT2,272,train,data/single_cell/k562_gw/data_interv-ENSG00000073712.npy,37
ENSG00000074071,MRPS34,224,train,data/single_cell/k562_gw/data_interv-ENSG00000074071.npy,507
ENSG00000074201,CLNS1A,70,train,data/single_cell/k562_gw/data_interv-ENSG00000074201.npy,271
ENSG00000074800,ENO1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000074800.npy,164
ENSG00000075089,ACTR6,348,train,data/single_cell/k562_gw/data_interv-ENSG00000075089.npy,700
ENSG00000075131,TIPIN,95,train,data/single_cell/k562_gw/data_interv-ENSG00000075131.npy,98
ENSG00000075218,GTSE1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000075218.npy,8
ENSG00000075415,SLC25A3,224,train,data/single_cell/k562_gw/data_interv-ENSG00000075415.npy,10
ENSG00000075568,TMEM131,18,train,data/single_cell/k562_gw/data_interv-ENSG00000075568.npy,34
ENSG00000075624,ACTB,18,train,data/single_cell/k562_gw/data_interv-ENSG00000075624.npy,89
ENSG00000075856,SART3,169,train,data/single_cell/k562_gw/data_interv-ENSG00000075856.npy,343
ENSG00000075914,EXOSC7,95,train,data/single_cell/k562_gw/data_interv-ENSG00000075914.npy,224
ENSG00000075945,KIFAP3,18,train,data/single_cell/k562_gw/data_interv-ENSG00000075945.npy,15
ENSG00000076003,MCM6,120,train,data/single_cell/k562_gw/data_interv-ENSG00000076003.npy,447
ENSG00000076043,REXO2,193,train,data/single_cell/k562_gw/data_interv-ENSG00000076043.npy,233
ENSG00000076053,RBM7,224,train,data/single_cell/k562_gw/data_interv-ENSG00000076053.npy,35
ENSG00000076201,PTPN23,18,train,data/single_cell/k562_gw/data_interv-ENSG00000076201.npy,1
ENSG00000076248,UNG,18,train,data/single_cell/k562_gw/data_interv-ENSG00000076248.npy,11
ENSG00000076984,MAP2K7,292,train,data/single_cell/k562_gw/data_interv-ENSG00000076984.npy,33
ENSG00000077044,DGKD,294,train,data/single_cell/k562_gw/data_interv-ENSG00000077044.npy,33
ENSG00000077235,GTF3C1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000077235.npy,51
ENSG00000077312,SNRPA,224,train,data/single_cell/k562_gw/data_interv-ENSG00000077312.npy,123
ENSG00000077514,POLD3,120,train,data/single_cell/k562_gw/data_interv-ENSG00000077514.npy,312
ENSG00000077549,CAPZB,169,train,data/single_cell/k562_gw/data_interv-ENSG00000077549.npy,17
ENSG00000078674,PCM1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000078674.npy,89
ENSG00000079246,XRCC5,324,train,data/single_cell/k562_gw/data_interv-ENSG00000079246.npy,239
ENSG00000079819,EPB41L2,18,train,data/single_cell/k562_gw/data_interv-ENSG00000079819.npy,116
ENSG00000079999,KEAP1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000079999.npy,239
ENSG00000080345,RIF1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000080345.npy,35
ENSG00000081307,UBA5,18,train,data/single_cell/k562_gw/data_interv-ENSG00000081307.npy,92
ENSG00000081377,CDC14B,18,train,data/single_cell/k562_gw/data_interv-ENSG00000081377.npy,20
ENSG00000081721,DUSP12,18,train,data/single_cell/k562_gw/data_interv-ENSG00000081721.npy,57
ENSG00000081870,HSPB11,18,train,data/single_cell/k562_gw/data_interv-ENSG00000081870.npy,28
ENSG00000082213,C5orf22,18,train,data/single_cell/k562_gw/data_interv-ENSG00000082213.npy,45
ENSG00000082515,MRPL22,189,train,data/single_cell/k562_gw/data_interv-ENSG00000082515.npy,236
ENSG00000082516,GEMIN5,207,train,data/single_cell/k562_gw/data_interv-ENSG00000082516.npy,19
ENSG00000082701,GSK3B,294,train,data/single_cell/k562_gw/data_interv-ENSG00000082701.npy,214
ENSG00000082898,XPO1,200,train,data/single_cell/k562_gw/data_interv-ENSG00000082898.npy,611
ENSG00000083312,TNPO1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000083312.npy,41
ENSG00000083635,NUFIP1,0,train,data/single_cell/k562_gw/data_interv-ENSG00000083635.npy,79
ENSG00000083720,OXCT1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000083720.npy,49
ENSG00000084072,PPIE,316,train,data/single_cell/k562_gw/data_interv-ENSG00000084072.npy,85
ENSG00000084090,STARD7,224,train,data/single_cell/k562_gw/data_interv-ENSG00000084090.npy,101
ENSG00000084092,NOA1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000084092.npy,7
ENSG00000084093,REST,18,train,data/single_cell/k562_gw/data_interv-ENSG00000084093.npy,47
ENSG00000084463,WBP11,169,train,data/single_cell/k562_gw/data_interv-ENSG00000084463.npy,143
ENSG00000084623,EIF3I,164,train,data/single_cell/k562_gw/data_interv-ENSG00000084623.npy,42
ENSG00000084652,TXLNA,18,train,data/single_cell/k562_gw/data_interv-ENSG00000084652.npy,12
ENSG00000084754,HADHA,224,train,data/single_cell/k562_gw/data_interv-ENSG00000084754.npy,14
ENSG00000085224,ATRX,18,train,data/single_cell/k562_gw/data_interv-ENSG00000085224.npy,33
ENSG00000085415,SEH1L,61,train,data/single_cell/k562_gw/data_interv-ENSG00000085415.npy,203
ENSG00000085511,MAP3K4,224,train,data/single_cell/k562_gw/data_interv-ENSG00000085511.npy,13
ENSG00000085733,CTTN,189,train,data/single_cell/k562_gw/data_interv-ENSG00000085733.npy,16
ENSG00000085760,MTIF2,189,train,data/single_cell/k562_gw/data_interv-ENSG00000085760.npy,98
ENSG00000085840,ORC1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000085840.npy,56
ENSG00000085872,CHERP,175,train,data/single_cell/k562_gw/data_interv-ENSG00000085872.npy,204
ENSG00000086189,DIMT1,69,train,data/single_cell/k562_gw/data_interv-ENSG00000086189.npy,201
ENSG00000086200,IPO11,18,train,data/single_cell/k562_gw/data_interv-ENSG00000086200.npy,14
ENSG00000086475,SEPHS1,181,train,data/single_cell/k562_gw/data_interv-ENSG00000086475.npy,41
ENSG00000086504,MRPL28,189,train,data/single_cell/k562_gw/data_interv-ENSG00000086504.npy,44
ENSG00000086598,TMED2,18,train,data/single_cell/k562_gw/data_interv-ENSG00000086598.npy,79
ENSG00000086758,HUWE1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000086758.npy,242
ENSG00000086827,ZW10,294,train,data/single_cell/k562_gw/data_interv-ENSG00000086827.npy,172
ENSG00000087087,SRRT,64,train,data/single_cell/k562_gw/data_interv-ENSG00000087087.npy,548
ENSG00000087157,PGS1,189,train,data/single_cell/k562_gw/data_interv-ENSG00000087157.npy,292
ENSG00000087263,OGFOD1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000087263.npy,647
ENSG00000087302,RTRAF,11,train,data/single_cell/k562_gw/data_interv-ENSG00000087302.npy,1
ENSG00000087470,DNM1L,189,train,data/single_cell/k562_gw/data_interv-ENSG00000087470.npy,64
ENSG00000088038,CNOT3,294,train,data/single_cell/k562_gw/data_interv-ENSG00000088038.npy,735
ENSG00000088205,DDX18,243,train,data/single_cell/k562_gw/data_interv-ENSG00000088205.npy,332
ENSG00000088247,KHSRP,95,train,data/single_cell/k562_gw/data_interv-ENSG00000088247.npy,14
ENSG00000088325,TPX2,95,train,data/single_cell/k562_gw/data_interv-ENSG00000088325.npy,110
ENSG00000088356,PDRG1,195,train,data/single_cell/k562_gw/data_interv-ENSG00000088356.npy,224
ENSG00000088930,XRN2,110,train,data/single_cell/k562_gw/data_interv-ENSG00000088930.npy,290
ENSG00000088986,DYNLL1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000088986.npy,59
ENSG00000089009,RPL6,350,train,data/single_cell/k562_gw/data_interv-ENSG00000089009.npy,509
ENSG00000089048,ESF1,69,train,data/single_cell/k562_gw/data_interv-ENSG00000089048.npy,109
ENSG00000089157,RPLP0,272,train,data/single_cell/k562_gw/data_interv-ENSG00000089157.npy,15
ENSG00000089597,GANAB,18,train,data/single_cell/k562_gw/data_interv-ENSG00000089597.npy,16
ENSG00000089737,DDX24,279,train,data/single_cell/k562_gw/data_interv-ENSG00000089737.npy,402
ENSG00000090054,SPTLC1,270,train,data/single_cell/k562_gw/data_interv-ENSG00000090054.npy,10
ENSG00000090061,CCNK,12,train,data/single_cell/k562_gw/data_interv-ENSG00000090061.npy,319
ENSG00000090263,MRPS33,189,train,data/single_cell/k562_gw/data_interv-ENSG00000090263.npy,281
ENSG00000090266,NDUFB2,224,train,data/single_cell/k562_gw/data_interv-ENSG00000090266.npy,27
ENSG00000090273,NUDC,311,train,data/single_cell/k562_gw/data_interv-ENSG00000090273.npy,238
ENSG00000090621,PABPC4,224,train,data/single_cell/k562_gw/data_interv-ENSG00000090621.npy,171
ENSG00000090905,TNRC6A,189,train,data/single_cell/k562_gw/data_interv-ENSG00000090905.npy,345
ENSG00000090989,EXOC1,95,train,data/single_cell/k562_gw/data_interv-ENSG00000090989.npy,110
ENSG00000091009,RBM27,18,train,data/single_cell/k562_gw/data_interv-ENSG00000091009.npy,34
ENSG00000091140,DLD,241,train,data/single_cell/k562_gw/data_interv-ENSG00000091140.npy,5
ENSG00000091483,FH,18,train,data/single_cell/k562_gw/data_interv-ENSG00000091483.npy,12
ENSG00000091640,SPAG7,389,train,data/single_cell/k562_gw/data_interv-ENSG00000091640.npy,127
ENSG00000091651,ORC6,95,train,data/single_cell/k562_gw/data_interv-ENSG00000091651.npy,99
ENSG00000091732,ZC3HC1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000091732.npy,10
ENSG00000092010,PSME1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000092010.npy,65
ENSG00000092020,PPP2R3C,18,train,data/single_cell/k562_gw/data_interv-ENSG00000092020.npy,6
ENSG00000092036,HAUS4,225,train,data/single_cell/k562_gw/data_interv-ENSG00000092036.npy,27
ENSG00000092094,OSGEP,18,train,data/single_cell/k562_gw/data_interv-ENSG00000092094.npy,12
ENSG00000092199,HNRNPC,364,train,data/single_cell/k562_gw/data_interv-ENSG00000092199.npy,431
ENSG00000092201,SUPT16H,257,train,data/single_cell/k562_gw/data_interv-ENSG00000092201.npy,445
ENSG00000092203,TOX4,18,train,data/single_cell/k562_gw/data_interv-ENSG00000092203.npy,119
ENSG00000092208,GEMIN2,224,train,data/single_cell/k562_gw/data_interv-ENSG00000092208.npy,11
ENSG00000095059,DHPS,18,train,data/single_cell/k562_gw/data_interv-ENSG00000095059.npy,63
